Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
AU;DFINENP;05;ELEC;22908.2832;0.21044367338571168
AU;DFINENP;05;GAS;4.674;1.1302509515000952e-05
AU;DFINENP;05;OIL;123178.4286;0.627041450048734
AU;DFINENP;06;ELEC;28103.932800000002;0.25817276674042466
AU;DFINENP;06;OIL;5994.00231;0.030512549500553227
AU;DFINENP;07;ELEC;28103.932800000002;0.25817276674042466
AU;DFINENP;07;GAS;59799.443;0.1446050007486643
AU;DFINENP;13;COMB;19023.0;0.5323203492276696
AU;DFINENP;13;ELEC;479.8404;0.0044079853358399744
AU;DFINENP;14;ELEC;3705.6348000000003;0.034041285098916844
AU;DFINENP;14;GAS;4511.107;0.010908607143921136
AU;DFINENP;14;OIL;49479.0862;0.2518739548032707
AU;DFINENP;17;COMB;16713.0;0.4676796507723304
AU;DFINENP;17;ELEC;1401.336;0.012873173118780007
AU;DFINENP;17;GAS;23070.422;0.055788118136518454
AU;DFINENP;17;OIL;17776.132700000002;0.09048964296064026
AU;DFINENP;38;ELEC;24154.117199999997;0.22188834957990217
AU;DFINENP;38;GAS;326150.834;0.7886869714613811
AU;DFINENP;38;OIL;16.1875;8.240268680180162e-05
BR;DFINENP;06;ELEC;41403.6;0.3138833547119347
BR;DFINENP;06;OIL;39646.0;0.19201821087809368
BR;DFINENP;07;ELEC;41403.6;0.3138833547119347
BR;DFINENP;07;GAS;187531.0;0.6456100609010882
BR;DFINENP;13;COMB;8330.0;1.0
BR;DFINENP;14;ELEC;15037.2;0.11399798040446495
BR;DFINENP;14;GAS;102940.0;0.35438993909891175
BR;DFINENP;14;OIL;166824.0;0.8079817891219063
BR;DFINENP;17;ELEC;34063.200000000004;0.2582353101716656
BR;DFINENP;17;SBM;548933.2006;1.0
CA;DFINENP;05;ELEC;5922.0;0.04292573456500182
CA;DFINENP;05;GAS;3325.0;0.0020738373412968686
CA;DFINENP;06;ELEC;55378.8;0.4014143311935703
CA;DFINENP;06;OIL;452582.1145;0.7228846371360856
CA;DFINENP;07;ELEC;55378.8;0.4014143311935703
CA;DFINENP;07;GAS;1536512.0;0.9583386348724013
CA;DFINENP;14;ELEC;21279.600000000002;0.15424560304785764
CA;DFINENP;14;GAS;63471.0;0.03958752778630182
CA;DFINENP;14;OIL;173495.8117;0.27711536286391436
CN;DFINENP;05;COMB;2898608.5387999997;0.7542799682433299
CN;DFINENP;05;ELEC;369633.60000000003;0.3129965065448937
CN;DFINENP;05;GAS;63214.020000000004;0.06623058053965658
CN;DFINENP;05;HEAT;7055.0;0.009811674265209208
CN;DFINENP;05;OIL;88651.44;0.03097548440331881
CN;DFINENP;06;ELEC;156398.4;0.13243426146651954
CN;DFINENP;06;HEAT;27782.6;0.038638387163798915
CN;DFINENP;06;OIL;213187.914;0.07448947140715448
CN;DFINENP;07;ELEC;156398.4;0.13243426146651954
CN;DFINENP;07;GAS;518979.3;0.5437448896156991
CN;DFINENP;07;HEAT;27782.6;0.038638387163798915
CN;DFINENP;13;COMB;913304.1704;0.23766128865783523
CN;DFINENP;14;ELEC;431614.8;0.3654806396741881
CN;DFINENP;14;GAS;318801.57;0.3340147179067866
CN;DFINENP;14;HEAT;634408.5;0.8822975978851845
CN;DFINENP;14;OIL;2557360.46;0.8935611090174532
CN;DFINENP;17;OIL;1000.98;0.00034974999140492316
CN;DFINENP;17;SBM;559.0;1.0
CN;DFINENP;38;COMB;30968.794799999992;0.008058743098834826
CN;DFINENP;38;ELEC;66906.0;0.056654330847879235
CN;DFINENP;38;GAS;53458.770000000004;0.05600981193785773
CN;DFINENP;38;HEAT;22012.7;0.030613953522008613
CN;DFINENP;38;OIL;1786.4099999999999;0.0006241851806686135
DE;DFINENP;05;COMB;21.28;0.00066870191289284
