Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
AU;DINTENP;17;OIL;96253.71519;1.0
AU;DINTENP;38;GAS;41.954;1.0
BR;DINTENP;17;OIL;106433.6;1.0
BR;DINTENP;17;SBM;282043.125;1.0
CA;DINTENP;17;GAS;164923.0;1.0
CA;DINTENP;17;OIL;14707.371000000001;1.0
CN;DINTENP;13;COMB;343225.57279999997;0.4022887508001914
CN;DINTENP;17;COMB;56.88;6.666806310160491e-05
CN;DINTENP;17;OIL;4934578.260000001;0.9971205567003597
CN;DINTENP;17;SBM;102839.62336000001;1.0
CN;DINTENP;38;COMB;509899.676;0.597644581136707
CN;DINTENP;38;GAS;19459.0;1.0
CN;DINTENP;38;OIL;14249.869999999999;0.0028794432996403123
DE;DINTENP;13;COMB;114556.32;1.0
DE;DINTENP;17;OIL;257775.7;1.0
DE;DINTENP;17;SBM;1386.0;1.0
ES;DINTENP;17;OIL;3515.5;1.0
ES;DINTENP;17;SBM;2164.999996845;1.0
ES;DINTENP;38;BG;325.0;1.0
FR;DINTENP;17;OIL;50777.856378000004;1.0
FR;DINTENP;17;SBM;2068.097;1.0
FR;DINTENP;38;BG;3998.246;1.0
ID;DINTENP;13;COMB;15105.479400000002;1.0
ID;DINTENP;17;OIL;50388.0;1.0
ID;DINTENP;17;SBM;98329.14;1.0
IN;DINTENP;13;COMB;16160.0;0.8847735724266009
IN;DINTENP;17;OIL;149396.0;1.0
IN;DINTENP;17;SBM;363942.000003015;1.0
IN;DINTENP;38;COMB;2104.56;0.11522642757339896
IT;DINTENP;17;OIL;79588.29119999999;1.0
IT;DINTENP;17;SBM;615.9999982500001;1.0
IT;DINTENP;38;BG;1712.936;1.0
JP;DINTENP;17;OIL;189521.5175;0.7221690638274483
JP;DINTENP;17;SBM;583.9490011949999;1.0
JP;DINTENP;38;BG;80.437;1.0
JP;DINTENP;38;OIL;72912.20749999999;0.2778309361725517
KR;DINTENP;13;COMB;15914.172846;0.6709333550159909
KR;DINTENP;17;COMB;7805.281145999999;0.329066644984009
KR;DINTENP;17;GAS;8260.62;1.0
KR;DINTENP;17;OIL;478085.4325;0.9913907416395356
KR;DINTENP;38;OIL;4151.704099999999;0.008609258360464476
MX;DINTENP;17;OIL;194481.97699999998;0.8653809844951454
MX;DINTENP;38;OIL;30253.694900000002;0.13461901550485456
NL;DINTENP;17;OIL;160253.1325;0.9905053435374384
NL;DINTENP;38;BG;4502.402;1.0
NL;DINTENP;38;OIL;1536.1335000000001;0.009494656462561615
OE;DINTENP;13;COMB;37508.513134;0.5712046065969543
OE;DINTENP;17;COMB;12262.785;0.1867458530463228
OE;DINTENP;17;GAS;82990.201;1.0
OE;DINTENP;17;LBF;0.0736;0.3333333333333333
OE;DINTENP;17;OIL;125969.83840000001;0.9997961181583728
OE;DINTENP;17;SBM;3372.1501028899997;1.0
OE;DINTENP;38;BG;10909.965;1.0
OE;DINTENP;38;COMB;15894.336738;0.242049540356723
OE;DINTENP;38;LBF;0.1472;0.6666666666666666
OE;DINTENP;38;OIL;25.688200000000002;0.00020388184162722488
RU;DINTENP;13;COMB;608.16395;1.0
RU;DINTENP;17;GAS;499513.513;1.0
RU;DINTENP;17;SBM;5020.0;1.0
UK;DINTENP;13;COMB;4098.393;0.9882032195264505
UK;DINTENP;13;OIL;1755.0;0.018626591666138118
UK;DINTENP;17;COMB;48.925;0.011796780473549411
UK;DINTENP;17;OIL;92465.136;0.9813734083338619
UK;DINTENP;38;BG;18914.0;1.0
US;DINTENP;17;GAS;217998.326;1.0
US;DINTENP;17;OIL;4738947.630744;1.0
US;DINTENP;17;SBM;46698.119999999995;1.0
US;DINTENP;38;COMB;140748.49300000002;1.0
WA;DINTENP;13;COMB;5263.495564;1.0
WA;DINTENP;17;GAS;41976.9;1.0
WA;DINTENP;17;OIL;571053.2444000001;1.0
WA;DINTENP;17;SBM;251487.619265055;1.0
WE;DINTENP;13;COMB;9463.23707;0.44295709490114543
WE;DINTENP;17;COMB;10368.16;0.4853149085348086
WE;DINTENP;17;GAS;5195.974;1.0
WE;DINTENP;17;OIL;325849.04512;1.0
WE;DINTENP;17;SBM;23824.3655;1.0
WE;DINTENP;38;BG;1300.0;1.0
WE;DINTENP;38;COMB;1532.3809999999999;0.07172799656404594
WF;DINTENP;13;COMB;86.528;0.0013349672469487948
WF;DINTENP;17;IW;48.0;1.0
WF;DINTENP;17;OIL;583981.6536000001;1.0
WF;DINTENP;17;SBM;3679592.5491884397;1.0
WF;DINTENP;38;COMB;64730.043491;0.9986650327530512
WL;DINTENP;17;GAS;5305.7080000000005;1.0
WL;DINTENP;17;OIL;399755.697342;0.9838027401055347
WL;DINTENP;17;SBM;327985.27900268004;1.0
WL;DINTENP;38;OIL;6581.55;0.016197259894465292
WM;DINTENP;17;GAS;40957.1;1.0
WM;DINTENP;17;OIL;4519355.866400001;1.0
WM;DINTENP;17;SBM;11163.479432265001;1.0
