Region_splitted;Variable_NeW;Sector_OMNIA;Share
AU;DFINENPBG;AGR;0.0
AU;DFINENPCOMB;AGR;0.0
AU;DFINENPELEC;AGR;0.460712320477471
AU;DFINENPGAS;AGR;0.4993563074636066
AU;DFINENPGEO;AGR;0.0
AU;DFINENPHEAT;AGR;0.0
AU;DFINENPLBF;AGR;0.0
AU;DFINENPMW;AGR;0.0
AU;DFINENPOIL;AGR;0.8031685201684905
AU;DFINENPSBM;AGR;0.0
AU;DFINENPSOLT;AGR;0.0
AU;DFINENPOIL;AVB;0.7953985772341726
AU;DFINENPOIL;AVD;0.8961754682316219
AU;DFINENPBG;ICH;0.0
AU;DFINENPCOMB;ICH;0.997702858303959
AU;DFINENPELEC;ICH;0.9048497464786774
AU;DFINENPGAS;ICH;0.5576016733561097
AU;DFINENPHEAT;ICH;0.0
AU;DFINENPIW;ICH;1.0
AU;DFINENPLBF;ICH;0.0
AU;DFINENPMW;ICH;0.0
AU;DFINENPOIL;ICH;1.0
AU;DFINENPSBM;ICH;1.0
AU;DFINENPSOLT;ICH;0.0
AU;DFINENPBG;ICM;0.0
AU;DFINENPCOMB;ICM;0.0
AU;DFINENPELEC;ICM;0.8553276512431104
AU;DFINENPGAS;ICM;0.8532883789673517
AU;DFINENPHEAT;ICM;0.0
AU;DFINENPIW;ICM;0.0
AU;DFINENPLBF;ICM;0.0
AU;DFINENPOIL;ICM;0.801254382356364
AU;DFINENPSBM;ICM;0.0
AU;DFINENPSOLT;ICM;0.0
AU;DFINENPCOMB;IIS;0.8697154355894814
AU;DFINENPELEC;IIS;0.7247444321273597
AU;DFINENPGAS;IIS;0.9879545104877173
AU;DFINENPHEAT;IIS;0.0
AU;DFINENPIW;IIS;0.0
AU;DFINENPLBF;IIS;0.0
AU;DFINENPMW;IIS;0.0
AU;DFINENPOIL;IIS;1.0
AU;DFINENPSBM;IIS;0.0
AU;DFINENPSOLT;IIS;0.0
AU;DFINENPBG;INF;0.0
AU;DFINENPCOMB;INF;1.0
AU;DFINENPELEC;INF;0.8599522521585742
AU;DFINENPGAS;INF;0.9791588958744399
AU;DFINENPHEAT;INF;0.0
AU;DFINENPIW;INF;0.0
AU;DFINENPLBF;INF;0.0
AU;DFINENPOIL;INF;1.0
AU;DFINENPSBM;INF;1.0
AU;DFINENPSOLT;INF;0.0
AU;DFINENPBG;INM;1.0
AU;DFINENPCOMB;INM;0.8140234756630549
AU;DFINENPELEC;INM;0.9209292607814629
AU;DFINENPGAS;INM;0.9601401045727517
AU;DFINENPHEAT;INM;0.0
AU;DFINENPIW;INM;0.0
AU;DFINENPLBF;INM;0.0
AU;DFINENPMW;INM;0.0
AU;DFINENPOIL;INM;1.0
AU;DFINENPSBM;INM;1.0
AU;DFINENPSOLT;INM;0.0
AU;DFINENPBG;IOI;0.9488082990301197
AU;DFINENPCOMB;IOI;0.5198988818702807
AU;DFINENPELEC;IOI;0.8360970398092866
AU;DFINENPGAS;IOI;0.6742277574719571
AU;DFINENPGEO;IOI;0.0
AU;DFINENPHEAT;IOI;0.0
AU;DFINENPIW;IOI;1.0
AU;DFINENPLBF;IOI;0.0
AU;DFINENPMW;IOI;0.0
AU;DFINENPOIL;IOI;0.9029596161665702
AU;DFINENPSBM;IOI;0.8381202786296914
AU;DFINENPSOLT;IOI;0.0
AU;DFINENPGAS;NAB;0.0
AU;DFINENPLBF;NAB;0.0
AU;DFINENPOIL;NAB;0.7007595508651223
AU;DFINENPGAS;NAD;0.0
AU;DFINENPLBF;NAD;0.0
AU;DFINENPOIL;NAD;0.8696032521163362
AU;DFINENPCOMB;OTH;0.0
AU;DFINENPELEC;OTH;0.0
AU;DFINENPGAS;OTH;0.0
AU;DFINENPHEAT;OTH;0.0
AU;DFINENPLBF;OTH;0.0
AU;DFINENPOIL;OTH;1.0
AU;DFINENPSBM;OTH;1.0
AU;DFINENPSOLT;OTH;0.0
AU;DFINENPBG;OTH OwnUses;0.0
AU;DFINENPCOMB;OTH OwnUses;0.914141392663175
AU;DFINENPELEC;OTH OwnUses;0.9687447905752967
AU;DFINENPGAS;OTH OwnUses;0.9753077770332444
AU;DFINENPHEAT;OTH OwnUses;0.0
AU;DFINENPIW;OTH OwnUses;0.0
AU;DFINENPLBF;OTH OwnUses;0.0
AU;DFINENPMW;OTH OwnUses;0.0
AU;DFINENPOIL;OTH OwnUses;0.9295372606936159
AU;DFINENPSBM;OTH OwnUses;0.0
AU;DFINENPBG;OTH_TR;0.0
AU;DFINENPELEC;OTH_TR;1.0
AU;DFINENPGAS;OTH_TR;1.0
AU;DFINENPLBF;OTH_TR;0.0
AU;DFINENPOIL;OTH_TR;1.0
AU;DFINENPBG;PWR OwnUses;0.0
AU;DFINENPCOMB;PWR OwnUses;0.0
AU;DFINENPELEC;PWR OwnUses;0.900599123327527
AU;DFINENPGAS;PWR OwnUses;0.0
AU;DFINENPHEAT;PWR OwnUses;0.0
AU;DFINENPLBF;PWR OwnUses;0.0
AU;DFINENPMW;PWR OwnUses;0.0
AU;DFINENPOIL;PWR OwnUses;1.0
AU;DFINENPSBM;PWR OwnUses;0.0
AU;DFINENPELEC;Pipeline;1.0
AU;DFINENPGAS;Pipeline;1.0
AU;DFINENPCOMB;RAI;0.0
AU;DFINENPELEC;RAI;0.9777192292188152
AU;DFINENPLBF;RAI;0.0
AU;DFINENPOIL;RAI;1.0
AU;DFINENPBG;RES;0.0
AU;DFINENPCOMB;RES;0.07861160200238375
AU;DFINENPELEC;RES;0.8272038475276693
AU;DFINENPGAS;RES;0.9585147736179953
AU;DFINENPGEO;RES;0.0
AU;DFINENPHEAT;RES;0.0
AU;DFINENPLBF;RES;0.0
AU;DFINENPOIL;RES;0.7666764916750489
AU;DFINENPSBM;RES;0.466066568433244
AU;DFINENPSOLT;RES;0.9791947416195533
AU;DFINENPBG;ROA;0.0
AU;DFINENPELEC;ROA;0.4025478346753269
AU;DFINENPGAS;ROA;1.0
AU;DFINENPLBF;ROA;0.9700379308314182
AU;DFINENPOIL;ROA;0.8531786916348529
AU;DFINENPBG;SRV;0.6502976190476191
AU;DFINENPCOMB;SRV;0.45328756252064417
AU;DFINENPELEC;SRV;0.8794213977643193
AU;DFINENPGAS;SRV;0.8429998319838992
AU;DFINENPGEO;SRV;0.0
AU;DFINENPHEAT;SRV;0.0
AU;DFINENPIW;SRV;0.0
AU;DFINENPLBF;SRV;0.0
AU;DFINENPMW;SRV;0.0
AU;DFINENPOIL;SRV;0.7351687320665092
AU;DFINENPSBM;SRV;1.0
AU;DFINENPSOLT;SRV;1.0
AU;DINTENPCOMB;Blast furnace;0.770349196091254
AU;DINTENPOIL;Blast furnace;0.0
AU;DINTENPSBM;Blast furnace;0.0
AU;DINTENPCOMB;Coke oven;0.8608078235127435
AU;DINTENPGAS;Coke oven;0.0
AU;DINTENPOIL;Coke oven;0.0
AU;DINTENPBG;HEAT;0.0
AU;DINTENPCOMB;HEAT;0.0
AU;DINTENPGAS;HEAT;0.0
AU;DINTENPGEO;HEAT;0.0
AU;DINTENPHEAT;HEAT;0.0
AU;DINTENPIW;HEAT;0.0
AU;DINTENPLBF;HEAT;0.0
AU;DINTENPMW;HEAT;0.0
AU;DINTENPOIL;HEAT;0.0
AU;DINTENPSBM;HEAT;0.0
AU;DINTENPSOLT;HEAT;0.0
AU;DINTENPBG;Other;0.0
AU;DINTENPCOMB;Other;0.0
AU;DINTENPGAS;Other;1.0
AU;DINTENPLBF;Other;0.0
AU;DINTENPOIL;Other;0.9245327592195168
AU;DINTENPSBM;Other;0.0
AU;DINTENPBG;PG;0.828745970484416
AU;DINTENPCOMB;PG;0.9858194641648168
AU;DINTENPGAS;PG;0.9196807844518605
AU;DINTENPGEO;PG;0.0
AU;DINTENPHEAT;PG;0.0
AU;DINTENPIW;PG;0.0
AU;DINTENPLBF;PG;0.0
AU;DINTENPMW;PG;0.0
AU;DINTENPOIL;PG;0.9991488597950361
AU;DINTENPSBM;PG;0.6381730241206676
AU;DINTENPSOLT;PG;1.0
AU;DINTENPOIL;Refineries;0.8013439302413712
AU;DNONENPCOMB;Non energy;0.0
AU;DNONENPGAS;Non energy;0.4992893892471862
AU;DNONENPOIL;Non energy;0.9173941503714863
AU;DSTOCKPBG;BG;0.0
AU;DSTOCKPCOMB;COMB;1.1251162388490457
AU;DSTOCKPGAS;GAS;1.049559748651225
AU;DSTOCKPIW;IW;0.0
AU;DSTOCKPLBF;LBF;0.0
AU;DSTOCKPMW;MW;0.0
AU;DSTOCKPOIL;OIL;1.8860478756700978
AU;DSTOCKPSBM;SBM;0.0
AU;EXPPBG;BG;0.0
AU;EXPPCOMB;COMB;0.996076018993999
AU;EXPPELEC;ELEC;0.0
AU;EXPPGAS;GAS;1.0
AU;EXPPLBF;LBF;0.0
AU;EXPPMW;MW;0.0
AU;EXPPOIL;OIL;0.925353922174233
AU;EXPPSBM;SBM;0.0
AU;IMPPBG;BG;0.0
AU;IMPPCOMB;COMB;0.3995389071499071
AU;IMPPELEC;ELEC;0.0
AU;IMPPGAS;GAS;1.0
AU;IMPPHEAT;HEAT;0.0
AU;IMPPIW;IW;0.0
AU;IMPPLBF;LBF;0.0
AU;IMPPMW;MW;0.0
AU;IMPPOIL;OIL;0.853716250482888
AU;IMPPSBM;SBM;0.0
AU;PRODPBG;Production;0.8294762476110321
AU;PRODPCOMB;Production;0.9920672653840853
AU;PRODPGAS;Production;0.967308767683238
AU;PRODPGEO;Production;0.0
AU;PRODPHYD;Production;0.3841629491857824
AU;PRODPIW;Production;1.0
AU;PRODPLBF;Production;0.9721802915411191
AU;PRODPMW;Production;0.0
