Reg_cd;Sec_cd;int_kstock;ratio_kstock
AU;01;1.386963964;10.93880027
AU;02;1.386963964;10.93880027
AU;03;1.386963964;10.93880027
AU;04;1.386963964;10.93880027
AU;05;3.759438997;14.15350524
AU;06;3.759438997;14.15350524
AU;07;3.759438997;14.15350524
AU;08;3.759438997;14.15350524
AU;09;0.478962507;11.40963439
AU;10;0.478962507;11.40963439
AU;11;0.478962507;11.40963439
AU;12;0.478962507;11.40963439
AU;13;0.478962507;11.40963439
AU;14;0.478962507;11.40963439
AU;15;0.478962507;11.40963439
AU;16;0.478962507;11.40963439
AU;17;0.478962507;11.40963439
AU;18;0.478962507;11.40963439
AU;19;0.478962507;11.40963439
AU;20;0.478962507;11.40963439
AU;21;0.478962507;11.40963439
AU;22;0.478962507;11.40963439
AU;23;0.478962507;11.40963439
AU;24;0.478962507;11.40963439
AU;25;0.478962507;11.40963439
AU;26;0.478962507;11.40963439
AU;27;0.478962507;11.40963439
AU;28;0.478962507;11.40963439
AU;29;0.478962507;11.40963439
AU;30;0.478962507;11.40963439
AU;31;0.478962507;11.40963439
AU;32;0.478962507;11.40963439
AU;33;0.478962507;11.40963439
AU;34;3.260701193;18.03028826
AU;35;3.260701193;18.03028826
AU;36;3.260701193;18.03028826
AU;37;3.260701193;18.03028826
AU;38;3.260701193;18.03028826
AU;39;3.260701193;18.03028826
AU;40;3.260701193;18.03028826
AU;41;0.14097687;7.53198027
AU;42;0.509950978;9.490906952
AU;43;0.885211151;17.23130017
AU;44;2.375897517;12.3501655
AU;45;2.375897517;12.3501655
AU;46;2.375897517;12.3501655
AU;47;2.375897517;12.3501655
AU;48;2.375897517;12.3501655
AU;49;2.375897517;12.3501655
AU;50;0.482195224;10.50815573
AU;51;0.482195224;10.50815573
AU;52;2.15901813;14.65204693
AU;53;2.15901813;14.65204693
AU;54;1.91623263;13.92029726
AU;55;1.91623263;13.92029726
AU;56;1.770342617;10.21452277
AU;57;1.375372165;15.72954161
AU;58;0.88854232;10.2199087
AU;59;0.88598141;10.29995273
BR;01;1.147772593;12.32200192
BR;02;1.147772593;12.32200192
BR;03;1.142795017;12.34364253
BR;04;1.141119691;12.32631858
BR;05;2.228303044;9.562481385
BR;06;2.228303044;9.562481385
BR;07;2.228303044;9.562481385
BR;08;2.216231071;9.557547498
BR;09;0.549081205;14.14972596
BR;10;0.774545305;8.389115638
BR;11;0.788688518;8.118719366
BR;12;0.788529672;8.121182465
BR;13;0.509726941;15.57947783
BR;14;0.509726941;15.57947783
BR;15;0.786671374;12.13775475
BR;16;0.786671374;12.13775475
BR;17;1.09393127;22.86704266
BR;18;0.786260901;12.15064389
BR;19;0.721240491;43.42933212
BR;20;0.721240491;43.42933212
BR;21;0.721240491;43.42933212
BR;22;0.751096454;21.39015274
BR;23;0.751096454;21.39015274
BR;24;0.751096454;21.39015274
BR;25;0.520388005;13.93748988
BR;26;0.612033277;12.01611492
BR;27;0.930250302;27.85838378
BR;28;0.717418654;12.32226433
BR;29;0.930250302;27.85838378
BR;30;0.930250302;27.85838378
BR;31;0.635951741;15.47169936
BR;32;0.637620611;15.59874064
BR;33;0.803726354;8.107648618
BR;34;3.906329265;17.34009955
BR;35;3.934554249;34.78212484
BR;36;3.934554249;34.78212484
BR;37;3.934554249;34.78212484
BR;38;3.934554249;34.78212484
BR;39;3.934554249;34.78212484
BR;40;3.911207915;17.34636161
BR;41;0.256637499;7.660220568
BR;42;0.939125476;13.72320656
BR;43;1.158498512;14.7081989
BR;44;2.28676641;13.68841282
BR;45;2.28676641;13.68841282
BR;46;2.289707888;13.6925892
BR;47;2.289707888;13.6925892
BR;48;2.29020521;13.69244924
BR;49;2.292639884;13.69986454
BR;50;1.135059613;11.24898671
BR;51;1.136334637;11.26687736
BR;52;7.885983299;16.17455822
BR;53;1.522884178;10.13394171
BR;54;0.941326242;9.737834495
BR;55;0.936433068;9.696806728
BR;56;5.106202324;18.92835552
BR;57;1.597119888;12.21419251
BR;58;1.19188305;11.16995279
BR;59;1.323884064;12.24322616
CA;01;0.642495948;6.403301887
CA;02;0.642495948;6.403301887
CA;03;0.18513905;5.57588021
CA;04;0.264130315;8.026602177
CA;05;3.897368272;12.1367401
CA;06;3.897368272;12.1367401
CA;07;3.897368272;12.1367401
CA;08;3.897368272;12.1367401
CA;09;0.137889269;4.785019455
CA;10;0.224050911;6.511587983
CA;11;0.221779244;5.836918138
CA;12;0.260966251;7.01694022
CA;13;0.266180565;8.681803847
CA;14;0.266180565;8.681803847
CA;15;0.271807517;6.205082189
CA;16;0.271807517;6.205082189
CA;17;0.33703859;5.24250367
CA;18;0.16968985;5.355790759
CA;19;0.256465544;5.997573797
CA;20;0.256465544;5.997573797
CA;21;0.256465544;5.997573797
CA;22;0.311603233;8.376863986
CA;23;0.311603233;8.376863986
CA;24;0.311603233;8.376863986
CA;25;0.141576517;4.750729614
CA;26;0.159631983;4.684890357
CA;27;0.334627277;4.586225307
CA;28;0.198761453;4.275757576
CA;29;0.334627277;4.586225307
CA;30;0.334627277;4.586225307
CA;31;0.177734761;4.751614158
CA;32;0.177734761;4.751614158
CA;33;0.211559156;5.759678023
CA;34;4.230151229;10.46100351
CA;35;4.230151229;10.46100351
CA;36;4.230151229;10.46100351
CA;37;4.230151229;10.46100351
CA;38;4.230151229;10.46100351
CA;39;4.230151229;10.46100351
CA;40;4.230151229;10.46100351
CA;41;0.109521168;5.613175624
CA;42;0.2529657;5.513580278
CA;43;0.322361009;6.58853703
CA;44;1.111404735;6.142432742
CA;45;1.111404735;6.142432742
CA;46;1.111404735;6.142432742
CA;47;1.111404735;6.142432742
CA;48;1.111404735;6.142432742
CA;49;1.111404735;6.142432742
CA;50;0.182628491;4.623970583
CA;51;0.182628491;4.623970583
CA;52;1.81485655;10.92786755
CA;53;1.81485655;10.92786755
CA;54;1.559169125;10.10245007
CA;55;1.559169125;10.10245007
CA;56;1.540781886;7.977653185
CA;57;1.057404396;6.482307543
CA;58;0.438280293;8.56236632
CA;59;0.286697282;5.448064374
CN;01;1.147772593;12.32200192
