;shgopsupg;shtxproimpreg;shsubtotpag;shincptyreg;shincptypag;shincptyintreg;shincptyintpag;shincptydivreg;shincptydivpag;shincptyfdireg;shincptyfdipag;shincptyothreg;shincptyothpag;shincptyrntreg;shincptyrntpag;shtxdirpag;shtxdirreg;shscnetreg;shscnetpag;shscempactreg;shscempactpag;shscempimpreg;shscempimppag;shschousactreg;shschousactpag;shschousimpreg;shschousimppag;shsocbenothreg;shsocbenothpag;shsocbenkireg;shsocbenkipag;shcurtransreg;shcurtranspag;shincgdispg;shadjpenpag;shadjpenreg;shgsavg;shktransreg;shktranspag;shfixcappag;shdinvv;shdinvvg;shdstockvg;shdvaluevg;shacldnfnpag;shnlendbg
AU;0.232498564;0.500422929;0.170607474;0.09539065;0.051138682;0.16519281;1;0.42430173;0;0;0;0;0;0.410505461;0;0;0.791955822;0.475136862;0;0.470304144;0;0.044439502;0;0.302095731;0;0.183160622;0;0;0.336446336;0;0.650951072;0.048057177;0.081460499;0.896104674;0;0;-0.11594106;0.006892986;0.025655798;0.202676948;2.397802475;0.172416086;0;0;-0.009333824;-0.346714643
BR;0.037954903;0.773135547;0.012260491;0.291194782;0.380726026;0.572949565;1;0.055755822;0;0;0;0.00292803;0;0.368366583;0;3.45385E-05;0.429721261;0.545908779;0;0.682380262;0;0.130372809;0;0.187246928;0;0;0;0;0.908250164;0;0.439227475;0.543228998;0.537922936;0.822339367;-0.003052845;0;-0.212990117;0.024650883;0.021766862;0.099684833;0.941453227;0.105884;0;0;-0.00543698;-0.304353949
CA;0.085594184;0.586211441;0.053530602;0.137308263;0.143158956;0.49900978;1;0.240867128;0;0;0;0.070732153;0;0.189390939;0;0;0.813988951;0.223577227;0;0;0;0;0;0;0;0;0;0;0.484789662;0;0.621672514;0.013092417;0.056264551;1.194754666;0;0;0.163008082;0;0.018232814;0.145475587;0.914620567;0.158582854;0.000432447;0;0;-0.000700319
CN;0.029950951;0.5919382;0;0.16616941;0.072694894;0.276759117;0.812146258;0.409481311;0;0;0;0.004713473;0.187853743;0.309046099;0;0;0.288331229;0.387134919;0;0;0;0;0;0;0;0;0;0;0.421468635;0;0.377515859;0.054199674;0.001508488;1.060009271;0;0;0.056612024;8.54476E-05;0.07371425;0.25033178;2.40888971;0.103895505;5.89676E-05;0;-0.1365204;-0.130828157
DE;0.05826097;0.525577501;0.039722947;0.03142927;0.038996629;0.392004342;1;0.440665702;0;0;0;0.037943198;0;0.129386758;0;0;0.650849693;0.850301614;0;0.398435045;0;0.066966107;0;0.534598849;0;0;0;0;0.780788233;0;0.641306634;0.036266182;0.10594302;1.234751573;0;0;0.190120489;0.015687683;0.04935381;0.096900336;0.852468093;0.11284662;0.000702193;0;-0.001483814;0.061037841
ES;0.055026695;0.608769495;0.052931111;0.038241504;0.120768916;0.311108638;0.999612294;0.614648264;0;0;0;0;0;0.074243099;0.000387706;0.001391916;0.549632228;0.683852074;0;0.698847226;0;0.044455234;0;0.25669754;0;0;0;0;0.838073793;0;0.590529864;0.040293196;0.080067084;0.95350916;0;0;-0.048757623;0.04454345;0.042177442;0.121688705;1.11381838;0.108892915;0.000174102;0.000227672;0.002075837;-0.170156157
FR;0.095342694;0.726542378;0.119363504;0.028487028;0.063308672;0.138032581;0.995150695;0.526691729;0;0;0;0.107330827;0;0.227944862;0.004849305;0.000146362;0.568523262;0.727850711;0;0.60678745;0;0.10781496;0;0.28539759;0;0;0;0;0.844342308;0;0.651221319;0.032667268;0.151882625;1.051066032;0;0;0.04858499;0.022497516;0.041754901;0.151107639;0.971857726;0.155546197;-6.11346E-05;0;0.005082659;-0.126862693
ID;0.061638222;0.550202955;0.022682388;0.116915624;0.07416179;0.578659689;1;0.308137816;0;0;0;0;0;0.113202495;0;0;0.459612696;0.532953082;0;0.630186465;0;0.023035471;0;0.346778064;0;0;0;0;0.466162368;0;0.528762683;0.071348569;0.104198896;1.207405807;0;0;0.148823481;0.010881251;0.035426451;0.215570998;2.019775228;0.141663086;-0.000413532;0;-0.036351107;-0.078456649
IN;0.061638222;0.550202955;0.022682388;0.116915624;0.07416179;0.578659689;1;0.308137816;0;0;0;0;0;0.113202495;0;0;0.459612696;0.532953082;0;0.630186465;0;0.023035471;0;0.346778064;0;0;0;0;0.466162368;0;0.528762683;0.071348569;0.104198896;1.207405807;0;0;0.148823481;0.010881251;0.035426451;0.215570998;2.019775228;0.141663086;-0.000413532;0;-0.036351107;-0.078456649
IT;0.057957046;0.77001124;0.083414048;0.053448008;0.180932224;0.197997651;0.997951226;0.540410538;0;0;0;0;0;0.261591812;0.002048774;0.00382348;0.771670374;0.724111542;0;0.654964;0;0.01721547;0;0.32782053;0;0;0;0;1.07979086;0;0.579746018;0.055737911;0.083644234;1.090235926;0;0;0.082767338;0.013120481;0.054439713;0.114196168;0.886224455;0.128309294;0.000474366;1.0968E-05;0.001296967;-0.074045029
JP;0.083433377;0.417613338;0.027178392;0.073133536;0.07746601;0.691693291;0.957958724;0.305652494;0;0;0;4.91521E-05;0;0.002605063;0.042041276;0;0.506673952;0.665994164;0;0.450477742;0;0.031948843;0;0.517573415;0;0;0;0;0.617678221;0;0.614600286;0.020173281;0.073999851;1.057645007;0;0;0.054503171;0.032558306;0.032565103;0.185140844;2.39799253;0.151885386;-0.000616023;0;0.013685058;-0.144328679
