;shgopsuph;shcmpemreh;shcmpempah;shincptyreh;shincptypah;shincptyintreh;shincptyintpah;shincptydivreh;shincptydivpah;shincptyfdireh;shincptyfdipah;shincptyothreh;shincptyothpah;shincptyrntreh;shincptyrntpah;shtxdirpah;shscnetreh;shscnetpah;shscempactreh;shscempactpah;shscempimpreh;shscempimppah;shschousactreh;shschousactpah;shschousimpreh;shschousimppah;shsocbenothreh;shsocbenothpah;shsocbenkireh;shsocbenkipah;shcurtransreh;shcurtranspah;shincgdisph;shconsh;shadjpenpah;shadjpenreh;shgsavh;shktransreh;shktranspah;shfixcappah;shdinvv;shdinvvh;shdstockvh;shdvaluevh;shacldnfnpah;shnlendbh
AU;0.363118898;1;0;0.191189586;0.074502068;0.189566507;0.98611209;0.808746772;0;0.001582331;0;0;0;0.00010439;0.01388791;0.260258806;0.010447622;0.010284804;0;0;0;0;0;0;0;0;0.129758074;0;0.296678421;0;0.056427241;0.008867768;1.371308642;0.791741353;0;0;0.208258647;0;0.000399091;0.160324706;0.714125509;0.226354592;-0.001320882;0;-0.002315238;0.045219613
BR;0.387522626;1;0.064628846;0.292959724;0.081994719;0.381464948;0.997544478;0.508721747;0;0;0;0.109813305;0;0;0.002455522;0.087296668;0;0.288042433;0;0.617977298;1;0.113363184;0;0.268659518;0;0;0.438952548;0;0.235089122;0.033572487;0.048406386;0.029863546;1.661644045;0.900087698;0;0.0084349;0.108347202;0.001226463;0.001697676;0.073139737;0.213763346;0.342152845;0;0;0;0.034736252
CA;0.313515121;1;0;0.191192679;0.069101725;0.35;0.9;0.35;0;0;0;0.3;0;0;0.1;0.239041551;0;0.091463602;0;0;1;0;0;0;0;0;0.198323458;0;0.254321106;0;0.114379991;0.155652595;1.185867485;0.96419974;0;0.034258912;0.070059172;0.000884688;0.000202049;0.135629239;0.376967816;0.358710342;0;0;0;-0.06488743
CN;0.158044553;1;0.265903746;0.086528411;0.025209845;0.792784164;0.998878084;0.078023352;0;0;0;0.129192485;0;0;0.001121916;0.020251925;0;0.124737086;0;0;1;0;0;0;0;0;0.136790763;0;0;0;0.011537561;0.023844617;1.156270771;0.652147189;0;0;0.34785281;0;0;0.196643047;0.711541577;0.27776934;-0.001001388;0;-0.059479264;0.210689028
DE;0.317383721;1;0.12475112;0.197143273;0.01060593;0.074231954;0.876523771;0.724899648;0;0;0;0.19209424;0;0.008774159;0.123476229;0.191086666;0.000451431;0.398211515;0;0.390408383;1;0.058271826;0;0.516960044;0;0.044421868;0.32991941;0.000451431;0.27087625;0.027820096;0.070553568;0.058682232;1.157425444;0.839883326;0;0.029405386;0.18952206;0.012285949;0.006918148;0.103478063;0.344671667;0.293286701;0.000178725;0.002211722;0.00037374;0.091038057
ES;0.395042948;1;0.079190265;0.089089692;0.00935537;0.168390838;0.808292057;0.539675201;0;0;0;0.273921671;0;0.018012291;0.191707943;0.182180002;0.000647033;0.298357533;0;0.666568876;1;0.091307574;0;0.241030597;0;0.003997906;0.370526551;0.000566368;0.260802183;0.022701061;0.140546803;0.13391858;1.341018776;0.914478383;0;-0.003523353;0.081998265;0.004062158;0.005221678;0.05649523;0.319318417;0.172764146;0.000180455;0.001148001;-0.000921473;0.025264987
FR;0.381051486;1;0.059573304;0.080266739;0.012992118;0.148560506;0.896335525;0.415088577;0;0;0;0.408112795;0;0.028238122;0.103664475;0.196881829;7.91E-06;0.36685887;0;0.556700253;1;0.125824031;0;0.317475716;0;0;0.411053265;0.00034323;0.328141917;0.039599544;0.098281558;0.059564604;1.211579023;0.853004454;0;0;0.146995546;0.00417822;0.01182578;0.097311866;0.37356135;0.257577849;0.000562013;0.000528723;-0.002345313;0.044381433
ID;0.243708966;1;0.104294012;0.13421711;0.038167602;0.369696497;0.955613745;0.40284879;0;0.000395583;0;0.192704507;0;0.034338971;0.044386255;0.121365694;0.002759347;0.50295876;0;0.256640805;1;0.020006812;0;0.220393623;0;0;0.175799009;0.000465506;0.199608627;0.006312907;0.073627304;0.049621316;1.219993592;0.804475613;0;0.004293896;0.199818356;0.040698346;0.022224273;0.133518642;0.699446844;0.194387505;-0.000241428;0.000712168;-0.030278324;0.095357839
IN;0.158044553;1;0.265903746;0.086528411;0.025209845;0.792784164;0.998878084;0.078023352;0;0;0;0.129192485;0;0;0.001121916;0.020251925;0;0.124737086;0;0;1;0;0;0;0;0;0.136790763;0;0;0;0.011537561;0.023844617;1.156270771;0.652147189;0;0;0.34785281;0;0;0.196643047;0.711541577;0.27776934;-0.001001388;0;-0.059479264;0.210689028
IT;0.477409883;1;0.063175957;0.235761577;0.007212725;0.097001403;0.51745838;0.743340988;0;0;0;0.153402899;0;0.006254711;0.48254162;0.303221649;0.002484201;0.382599038;0.850783456;0.656189705;0.149216544;0.045278537;0;0.297556071;0;0.0031611;0.53952309;0.001786435;0.280198533;0.013454657;0.062219468;0.06907994;1.632697898;0.90535343;0.000427538;0.00595698;0.100176011;0.002641219;0.002827314;0.078067428;0.272279577;0.282321287;-0.000450453;0.001647561;0.001441331;0.020481241
